song,event_idx,is_rest,pitch,dur,lyric,interval_pitch
01,0,True,,48.0,,0.0
01,12,False,64.0,1.0,きっ,
01,13,False,71.0,7.0,と,7.0
01,14,False,68.0,0.5,と,-3.0
01,15,False,69.0,0.5,べ,1.0
01,16,False,71.0,1.0,ば,2.0
01,17,True,,1.0,,
01,18,False,71.0,1.0,そ,
01,19,False,69.0,0.5,ら,-2.0
01,20,False,68.0,0.5,ま,-1.0
01,21,False,66.0,1.0,で,-2.0
01,22,False,68.0,0.5,と,2.0
01,23,False,69.0,0.5,ど,1.0
01,24,False,68.0,1.5,く,-1.0
01,25,True,,0.5,,
01,26,False,71.0,1.0,お,
01,27,False,64.0,0.5,を,-7.0
01,28,False,64.0,0.5,き,0.0
01,29,False,64.0,1.0,な,0.0
01,30,False,64.0,0.5,こ,0.0
01,31,False,69.0,0.5,の,5.0
01,32,False,71.0,1.0,せ,2.0
01,33,False,66.0,0.5,ー,-5.0
01,34,False,66.0,0.5,か,0.0
01,35,False,66.0,1.0,い,0.0
01,36,False,66.0,0.5,い,0.0
01,37,False,66.0,0.5,ま,0.0
01,38,False,71.0,1.5,き,5.0
01,39,False,69.0,0.5,み,-2.0
01,40,False,68.0,1.5,の,-1.0
01,41,False,69.0,0.5,も,1.0
01,42,False,68.0,3.0,の,-1.0
01,43,False,64.0,0.5,ゆ,-4.0
01,44,False,64.0,0.5,れ,0.0
01,45,False,71.0,7.0,て,7.0
01,46,False,68.0,0.5,か,-3.0
01,47,False,69.0,0.5,わ,1.0
01,48,False,71.0,1.0,る,2.0
01,49,True,,1.0,,
01,50,False,71.0,1.0,す,
01,51,False,69.0,0.5,が,-2.0
01,52,False,68.0,0.5,た,-1.0
01,53,False,66.0,1.0,み,-2.0
01,54,False,68.0,0.5,せ,2.0
01,55,False,69.0,0.5,た,1.0
01,56,False,68.0,1.0,い,-1.0
01,57,False,63.0,1.0,お,-5.0
01,58,False,64.0,1.0,べい,1.0
01,59,False,64.0,1.0,び,0.0
01,60,False,66.0,1.0,べい,2.0
01,61,False,64.0,1.0,び,-2.0
01,62,False,68.0,1.0,すてい,4.0
01,63,False,66.0,1.0,うぃず,-2.0
01,64,False,64.0,1.0,み,-2.0
01,65,False,62.0,1.0,れっつ,-2.0
01,66,False,64.0,2.0,ご,2.0
01,67,True,,15.5,,
01,73,False,64.0,1.0,ずっ,
01,74,False,64.0,1.0,と,0.0
01,75,True,,0.5,,
01,76,False,59.0,0.5,お,
01,77,False,66.0,0.5,も,7.0
01,78,False,64.0,1.0,おっ,-2.0
01,79,False,63.0,1.0,て,-1.0
01,80,False,64.0,2.0,た,1.0
01,81,True,,0.5,,
01,82,False,62.0,1.0,ね,
01,83,False,62.0,1.0,が,0.0
01,84,False,62.0,1.0,い,0.0
01,85,False,61.0,1.0,わ,-1.0
01,86,False,61.0,0.5,い,0.0
01,87,False,65.0,1.0,ち,4.0
01,88,False,68.0,1.0,ど,3.0
01,89,True,,0.5,,
01,90,False,68.0,1.0,は,
01,91,False,69.0,0.5,な,1.0
01,92,False,61.0,1.0,し,-8.0
01,93,False,64.0,1.0,た,3.0
01,94,False,64.0,1.0,ら,0.0
01,95,True,,3.5,,
01,98,False,68.0,1.0,く,
01,99,False,69.0,0.5,ず,1.0
01,100,False,61.0,1.0,れ,-8.0
01,101,False,64.0,1.0,て,3.0
01,102,False,63.0,1.0,く,-1.0
01,103,True,,4.5,,
01,106,False,64.0,1.0,しゅん,
01,107,False,64.0,1.0,かん,0.0
01,108,True,,0.5,,
01,109,False,59.0,0.5,む,
01,110,False,66.0,0.5,か,7.0
01,111,False,64.0,1.0,い,-2.0
01,112,False,63.0,1.0,か,-1.0
01,113,False,64.0,2.0,ぜ,1.0
01,114,True,,0.5,,
01,115,False,62.0,1.0,だ,
01,116,False,62.0,1.0,れ,0.0
01,117,False,62.0,1.0,も,0.0
01,118,False,61.0,1.0,し,-1.0
01,119,False,61.0,0.5,ら,0.0
01,120,False,65.0,1.0,な,4.0
01,121,False,68.0,1.0,い,3.0
01,122,True,,0.5,,
01,123,False,68.0,1.0,あ,
01,124,False,69.0,0.5,し,1.0
01,125,False,61.0,1.0,あ,-8.0
01,126,False,64.0,1.0,と,3.0
01,127,False,64.0,2.0,を,0.0
01,128,True,,2.5,,
01,131,False,68.0,1.0,き,
01,132,False,69.0,0.5,ず,1.0
01,133,False,61.0,1.0,か,-8.0
01,134,False,64.0,1.0,せ,3.0
01,135,False,63.0,2.0,る,-1.0
01,136,True,,2.5,,
01,139,False,68.0,1.5,き,
01,140,False,63.0,1.5,み,-5.0
01,141,False,59.0,1.5,と,-4.0
01,142,True,,1.5,,
01,144,False,68.0,1.0,で,
01,145,False,69.0,0.5,あ,1.0
01,146,False,68.0,0.5,う,-1.0
01,147,False,66.0,1.5,だ,-2.0
01,148,False,64.0,1.5,け,-2.0
01,149,False,64.0,2.0,で,0.0
01,150,True,,1.0,,
01,152,False,64.0,1.0,せ,
01,153,False,66.0,1.0,か,2.0
01,154,False,68.0,1.5,い,2.0
01,155,False,66.0,1.0,わ,-2.0
01,156,True,,0.5,,
01,157,False,61.0,1.0,い,
01,158,False,69.0,1.5,ろ,8.0
01,159,False,68.0,1.5,を,-1.0
01,160,False,63.0,1.0,つ,-5.0
01,161,False,66.0,1.5,け,3.0
01,162,False,64.0,3.0,る,-2.0
01,163,True,,2.0,,
01,164,False,66.0,1.0,そ,
01,165,False,63.0,0.5,の,-3.0
01,166,False,64.0,0.5,ほ,1.0
01,167,False,66.0,1.0,ほ,2.0
01,168,False,63.0,0.5,え,-3.0
01,169,False,64.0,0.5,み,1.0
01,170,False,66.0,1.0,が,2.0
01,171,False,63.0,0.5,あ,-3.0
01,172,False,64.0,0.5,る,1.0
01,173,False,66.0,1.0,の,2.0
01,174,False,68.0,0.5,な,2.0
01,175,False,66.0,1.0,ら,-2.0
01,176,True,,0.5,,
01,177,False,59.0,0.5,ひ,
01,178,False,64.0,0.5,と,5.0
01,179,False,64.0,1.0,り,0.0
01,180,False,66.0,1.0,き,2.0
01,181,False,71.0,1.0,り,5.0
01,182,False,66.0,0.5,じゃ,-5.0
01,183,False,69.0,0.75,な,3.0
01,184,False,68.0,0.75,い,-1.0
01,185,False,64.0,2.0,よ,-4.0
01,186,True,,0.5,,
01,187,False,68.0,1.5,ど,
01,188,False,69.0,1.5,こ,1.0
01,189,False,66.0,1.0,ま,-3.0
01,190,False,70.0,1.5,で,4.0
01,191,False,66.0,1.5,も,-4.0
01,192,False,70.0,1.0,ま,4.0
01,193,False,71.0,2.0,も,1.0
01,194,False,69.0,2.0,り,-2.0
01,195,False,68.0,2.0,た,-1.0
01,196,False,66.0,3.5,い,-2.0
01,197,True,,1.0,,
01,198,False,64.0,1.0,きっ,
01,199,False,71.0,7.0,と,7.0
01,200,False,68.0,0.5,と,-3.0
01,201,False,69.0,0.5,べ,1.0
01,202,False,71.0,1.0,ば,2.0
01,203,True,,1.0,,
01,204,False,71.0,1.0,そ,
01,205,False,69.0,0.5,ら,-2.0
01,206,False,68.0,0.5,ま,-1.0
01,207,False,66.0,1.0,で,-2.0
01,208,False,68.0,0.5,と,2.0
01,209,False,69.0,0.5,ど,1.0
01,210,False,68.0,1.5,く,-1.0
01,211,True,,0.5,,
01,212,False,71.0,1.0,お,
01,213,False,64.0,0.5,を,-7.0
01,214,False,64.0,0.5,き,0.0
01,215,False,64.0,1.0,な,0.0
01,216,False,64.0,0.5,こ,0.0
01,217,False,69.0,0.5,の,5.0
01,218,False,71.0,1.0,せ,2.0
01,219,False,66.0,0.5,ー,-5.0
01,220,False,66.0,0.5,か,0.0
01,221,False,66.0,1.0,い,0.0
01,222,False,66.0,0.5,い,0.0
01,223,False,66.0,0.5,ま,0.0
01,224,False,71.0,1.5,き,5.0
01,225,False,69.0,0.5,み,-2.0
01,226,False,68.0,1.5,の,-1.0
01,227,False,69.0,0.5,も,1.0
01,228,False,68.0,3.0,の,-1.0
01,229,False,64.0,0.5,ゆ,-4.0
01,230,False,64.0,0.5,れ,0.0
01,231,False,71.0,7.0,て,7.0
01,232,False,68.0,0.5,か,-3.0
01,233,False,69.0,0.5,わ,1.0
01,234,False,71.0,1.0,る,2.0
01,235,True,,1.0,,
01,236,False,71.0,1.0,す,
01,237,False,69.0,0.5,が,-2.0
01,238,False,68.0,0.5,た,-1.0
01,239,False,66.0,1.0,み,-2.0
01,240,False,68.0,0.5,せ,2.0
01,241,False,69.0,0.5,た,1.0
01,242,False,68.0,1.0,い,-1.0
01,243,False,63.0,1.0,お,-5.0
01,244,False,64.0,1.0,べい,1.0
01,245,False,64.0,1.0,び,0.0
01,246,False,66.0,1.0,べい,2.0
01,247,False,64.0,1.0,び,-2.0
01,248,False,68.0,1.0,すてい,4.0
01,249,False,66.0,1.0,うぃず,-2.0
01,250,False,64.0,1.0,み,-2.0
01,251,False,62.0,1.0,れっつ,-2.0
01,252,False,64.0,2.0,ご,2.0
01,253,True,,1.0,,
02,0,True,,5.0,,0.0
02,2,False,62.0,0.5,き,
02,3,False,64.0,1.0,え,2.0
02,4,False,67.0,1.0,る,3.0
02,5,False,66.0,1.0,こ,-1.0
02,6,False,61.0,1.0,と,-5.0
02,7,False,64.0,1.5,の,3.0
02,8,False,62.0,0.5,な,-2.0
02,9,False,62.0,3.5,い,0.0
02,10,True,,0.5,,
02,11,False,66.0,1.0,ゆ,
02,12,False,69.0,1.0,め,3.0
02,13,False,69.0,1.0,が,0.0
02,14,True,,0.5,,
02,15,False,62.0,0.5,あ,
02,16,False,62.0,0.5,る,0.0
02,17,False,71.0,1.0,こ,9.0
02,18,False,69.0,1.0,と,-2.0
02,19,True,,0.5,,
02,20,False,62.0,1.0,し,
02,21,False,64.0,1.0,ん,2.0
02,22,False,66.0,1.0,じ,2.0
02,23,False,66.0,1.0,て,0.0
02,24,False,67.0,0.5,い,1.0
02,25,False,64.0,3.0,る,-3.0
02,26,True,,1.0,,
02,27,False,62.0,1.0,い,
02,28,False,61.0,0.5,つ,-1.0
02,29,False,59.0,0.5,ま,-2.0
02,30,False,61.0,0.5,で,2.0
02,31,False,62.0,5.5,も,1.0
02,32,True,,26.5,,
02,41,False,57.0,1.5,ろ,
02,42,False,62.0,0.5,お,5.0
02,43,False,62.0,1.5,ふぁ,0.0
02,44,False,57.0,0.5,な,-5.0
02,45,False,57.0,1.5,ら,0.0
02,46,False,64.0,0.5,し,7.0
02,47,False,64.0,2.5,て,0.0
02,48,True,,1.0,,
02,49,False,62.0,0.5,か,
02,50,False,62.0,0.5,ぜ,0.0
02,51,False,61.0,0.5,を,-1.0
02,52,False,62.0,0.5,お,1.0
02,53,False,64.0,0.5,い,2.0
02,54,False,66.0,1.5,こ,2.0
02,55,False,61.0,0.5,せ,-5.0
02,56,False,61.0,2.5,ば,0.0
02,57,True,,1.0,,
02,58,False,62.0,1.0,きゅ,
02,59,False,61.0,0.5,ん,-1.0
02,60,False,62.0,0.5,と,1.0
02,61,False,64.0,0.5,つ,2.0
02,62,False,62.0,1.5,め,-2.0
02,63,False,57.0,0.5,た,-5.0
02,64,False,57.0,1.0,い,0.0
02,65,False,55.0,0.5,あ,-2.0
02,66,False,54.0,0.5,き,-1.0
02,67,False,55.0,1.0,の,1.0
02,68,False,57.0,0.5,ゆ,2.0
02,69,False,59.0,1.0,う,2.0
02,70,False,57.0,1.0,ぐ,-2.0
02,71,False,57.0,3.5,れ,0.0
02,72,True,,1.0,,
02,74,False,57.0,1.5,あ,
02,75,False,62.0,0.5,か,5.0
02,76,False,62.0,1.5,い,0.0
02,77,False,57.0,0.5,せ,-5.0
02,78,False,57.0,1.5,ろ,0.0
02,79,False,64.0,0.5,ふぁ,7.0
02,80,False,64.0,2.5,ん,0.0
02,81,True,,1.0,,
02,82,False,62.0,0.5,ら,
02,83,False,62.0,0.5,む,0.0
02,84,False,61.0,0.5,ね,-1.0
02,85,False,62.0,0.5,を,1.0
02,86,False,64.0,0.5,ひ,2.0
02,87,False,66.0,1.5,と,2.0
02,88,False,61.0,0.5,つ,-5.0
02,89,False,61.0,2.5,ぶ,0.0
02,90,True,,1.0,,
02,91,False,62.0,1.0,く,
02,92,False,61.0,0.5,ち,-1.0
02,93,False,62.0,0.5,に,1.0
02,94,False,64.0,0.5,い,2.0
02,95,False,62.0,1.5,れ,-2.0
02,96,False,57.0,0.5,た,-5.0
02,97,False,57.0,1.0,ら,0.0
02,98,False,62.0,0.5,た,5.0
02,99,False,64.0,0.5,ち,2.0
02,100,False,66.0,1.0,ま,2.0
02,101,False,67.0,0.5,ち,1.0
02,102,False,64.0,1.0,と,-3.0
02,103,False,62.0,1.0,け,-2.0
02,104,False,64.0,2.0,た,2.0
02,105,False,66.0,1.0,あ,2.0
02,106,False,64.0,0.5,と,-2.0
02,107,False,62.0,0.5,な,-2.0
02,108,False,61.0,0.5,ん,-1.0
02,109,False,62.0,1.0,ど,1.0
02,110,True,,0.5,,
02,111,False,66.0,1.0,こ,
02,112,False,64.0,0.5,お,-2.0
02,113,False,62.0,0.5,や,-2.0
02,114,False,61.0,0.5,っ,-1.0
02,115,False,62.0,1.0,て,1.0
02,116,True,,0.5,,
02,117,False,66.0,1.0,お,
02,118,False,64.0,0.5,な,-2.0
02,119,False,62.0,0.5,じ,-2.0
02,120,False,61.0,0.5,ゆ,-1.0
02,121,False,62.0,1.0,う,1.0
02,122,False,59.0,0.5,や,-3.0
02,123,False,62.0,1.0,け,3.0
02,124,False,64.0,0.5,ぞ,2.0
02,125,False,62.0,0.5,ら,-2.0
02,126,False,71.0,2.0,を,9.0
02,127,True,,0.5,,
02,128,False,59.0,1.0,わ,
02,129,False,62.0,1.0,け,3.0
02,130,False,67.0,1.0,あ,5.0
02,131,False,66.0,1.0,え,-1.0
02,132,False,64.0,1.0,る,-2.0
02,133,False,62.0,1.0,か,-2.0
02,134,False,64.0,1.0,な,2.0
02,135,True,,1.0,,
02,137,False,59.0,1.0,せ,
02,138,False,66.0,1.0,つ,7.0
02,139,False,66.0,1.5,な,0.0
02,140,False,67.0,0.5,い,1.0
02,141,False,64.0,3.5,よ,-3.0
02,142,True,,0.5,,
02,143,False,57.0,1.0,う,
02,144,False,62.0,1.0,ま,5.0
02,145,False,67.0,1.5,れ,5.0
02,146,False,66.0,0.5,て,-1.0
02,147,False,66.0,1.0,わ,0.0
02,148,True,,0.5,,
02,149,False,62.0,0.5,き,
02,150,False,64.0,1.0,え,2.0
02,151,False,67.0,1.0,る,3.0
02,152,False,66.0,1.0,あ,-1.0
02,153,False,61.0,1.0,わ,-5.0
02,154,False,64.0,1.5,の,3.0
02,155,False,62.0,0.5,よ,-2.0
