('あ', 'な', 'た'): 92
('ら', 'な', 'い'): 83
('た', 'く', 'し'): 78
('わ', 'た', 'く'): 75
('れ', 'な', 'い'): 75
('い', 'た', 'い'): 74
('っ', 'て', 'い'): 71
('よ', 'う', 'に'): 70
('ぼ', 'く', 'ら'): 68
('だ', 'っ', 'て'): 63
('せ', 'か', 'い'): 58
('じゃ', 'な', 'い'): 57
('て', 'い', 'く'): 56
('て', 'い', 'る'): 55
('き', 'み', 'の'): 55
('な', 'い', 'で'): 54
('の', 'な', 'か'): 54
('て', 'い', 'た'): 54
('な', 'い', 'か'): 53
('な', 'ん', 'て'): 52
('な', 'い', 'よ'): 51
('か', 'っ', 'た'): 50
('み', 'ら', 'い'): 50
('よ', 'う', 'な'): 50
('き', 'っ', 'と'): 50
('あ', 'い', 'し'): 49
('お', 'も', 'い'): 49
('し', 'て', 'る'): 49
('き', 'み', 'が'): 49
('て', 'し', 'ま'): 48
('も', 'っ', 'と'): 47
('ず', 'っ', 'と'): 44
('こ', 'と', 'ば'): 44
('ま', 'で', 'も'): 43
('だ', 'ろ', 'う'): 43
('の', 'こ', 'と'): 42
('い', 'つ', 'か'): 41
('い', 'し', 'て'): 41
('わ', 'す', 'れ'): 41
('み', 'た', 'い'): 39
('て', 'く', 'れ'): 39
('わ', 'ら', 'っ'): 39
('す', 'べ', 'て'): 39
('い', 'て', 'い'): 38
('こ', 'こ', 'ろ'): 38
('びゃ', 'びゃ', 'びゃ'): 38
('ほ', 'し', 'い'): 37
('い', 'か', 'ら'): 37
('ら', 'っ', 'て'): 37
('ん', 'だ', 'よ'): 36
('っ', 'て', 'る'): 36
('い', 'よ', 'う'): 36
('い', 'き', 'て'): 36
('し', 'て', 'い'): 35
('ぼ', 'く', 'の'): 35
('て', 'ゆ', 'く'): 35
('い', 'ん', 'だ'): 35
('え', 'な', 'い'): 34
('て', 'き', 'た'): 34
('あ', 'っ', 'て'): 34
('か', 'な', 'い'): 33
('ひ', 'か', 'り'): 33
('な', 'い', 'こ'): 33
('な', 'い', 'な'): 33
('ぜ', 'ん', 'ぶ'): 32
('じ', 'ぶ', 'ん'): 32
('な', 'ん', 'か'): 32
('だ', 'か', 'ら'): 32
('そ', 'ん', 'な'): 32
('の', 'よ', 'う'): 32
('ぼ', 'く', 'は'): 32
('も', 'な', 'い'): 32
('か', 'っ', 'て'): 31
('る', 'か', 'ら'): 31
('た', 'っ', 'て'): 31
('な', 'い', 'き'): 31
('き', 'み', 'と'): 31
('し', 'ん', 'じ'): 30
('い', 'じょ', 'う'): 29
('い', 'つ', 'も'): 29
('に', 'な', 'る'): 29
('だ', 'れ', 'か'): 29
('っ', 'て', 'な'): 29
('い', 'あ', 'い'): 29
('ひ', 'と', 'つ'): 29
('し', 'な', 'い'): 28
('い', 'な', 'い'): 28
('る', 'こ', 'と'): 28
('は', 'き', 'み'): 28
('い', 'こ', 'う'): 28
('きょ', 'う', 'も'): 27
