('あ', 'な', 'た'): 0.0018053020937579718
('ら', 'な', 'い'): 0.0016286964541512136
('た', 'く', 'し'): 0.0015305822099252369
('わ', 'た', 'く'): 0.0014717136633896509
('れ', 'な', 'い'): 0.0014717136633896509
('い', 'た', 'い'): 0.0014520908145444556
('っ', 'て', 'い'): 0.0013932222680088696
('よ', 'う', 'に'): 0.0013735994191636741
('ぼ', 'く', 'ら'): 0.0013343537214732834
('だ', 'っ', 'て'): 0.0012362394772473069
('せ', 'か', 'い'): 0.0011381252330213301
('じゃ', 'な', 'い'): 0.0011185023841761346
('て', 'い', 'く'): 0.0010988795353309394
('て', 'い', 'る'): 0.001079256686485744
('き', 'み', 'の'): 0.001079256686485744
('な', 'い', 'で'): 0.0010596338376405486
('の', 'な', 'か'): 0.0010596338376405486
('て', 'い', 'た'): 0.0010596338376405486
('な', 'い', 'か'): 0.0010400109887953534
('な', 'ん', 'て'): 0.001020388139950158
('な', 'い', 'よ'): 0.0010007652911049626
('か', 'っ', 'た'): 0.0009811424422597672
('み', 'ら', 'い'): 0.0009811424422597672
('よ', 'う', 'な'): 0.0009811424422597672
('き', 'っ', 'と'): 0.0009811424422597672
('あ', 'い', 'し'): 0.0009615195934145719
('お', 'も', 'い'): 0.0009615195934145719
('し', 'て', 'る'): 0.0009615195934145719
('き', 'み', 'が'): 0.0009615195934145719
('て', 'し', 'ま'): 0.0009418967445693765
('も', 'っ', 'と'): 0.0009222738957241813
('ず', 'っ', 'と'): 0.0008634053491885952
('こ', 'と', 'ば'): 0.0008634053491885952
('ま', 'で', 'も'): 0.0008437825003433998
('だ', 'ろ', 'う'): 0.0008437825003433998
('の', 'こ', 'と'): 0.0008241596514982045
('い', 'つ', 'か'): 0.0008045368026530092
('い', 'し', 'て'): 0.0008045368026530092
('わ', 'す', 'れ'): 0.0008045368026530092
('み', 'た', 'い'): 0.0007652911049626184
('て', 'く', 'れ'): 0.0007652911049626184
('わ', 'ら', 'っ'): 0.0007652911049626184
('す', 'べ', 'て'): 0.0007652911049626184
('い', 'て', 'い'): 0.0007456682561174232
('こ', 'こ', 'ろ'): 0.0007456682561174232
